title,company,salary,location,link,platform
.Principal Backend Engineer - Immutably™,Context Labs,188000.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/principal-backend-engineer-immutably-context-labs-JV_IC1154545_KO0,36_KE37,49.htm?jl=1009300545958",G
Manager - Kinematics Software Engineering - Surgical Robotics,Medtronic,188000.0,"Boston, MA","https://www.glassdoor.com/job-listing/manager-kinematics-software-engineering-surgical-robotics-medtronic-JV_IC1154532_KO0,57_KE58,67.htm?jl=1009382147789",G
Senior Backend Software Engineer,S&P Global,187500.0,"Cambridge, MA 02138",https://www.indeed.com/rc/clk?jk=e7f0e5e5abf9d632&bb=JsXlNuj3Ty6g0r4ptiDas8-dfDrcw2FXMVw2VINEr99ibZbac_d4izU9sVbLb8Iw-oF5qUrHeSfKaxlyQX-xnigR0j2Jpdac0FIsddxZyr6g9JDub4ar7CDvIkz6BRfQ&xkcb=SoAR67M34YxmSAwpcZ0DbzkdCdPP&fccid=b716e44d2c6283e7&vjs=3,I
Senior Backend Software Engineer,S&P Global,187500.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/senior-backend-software-engineer-sp-global-JV_IC1154545_KO0,32_KE33,42.htm?jl=1009469533492",G
Senior Software Engineer (PaaS Insights),DigitalOcean,184000.0,"Remote in Boston, MA",https://www.indeed.com/rc/clk?jk=05a077ea175f6c91&bb=-roSMDgi6MgSi39lPAw8VdrvwrrBm9KatpdIVuQSN2hkpye132J0IUBR1Fu6c_cCbfYFWDVx4P3PcmTh1IydNtTN-4VGBDWFCDx613L-g26a-nK2_4Vxlrvm1tZW4ly1&xkcb=SoAc67M34Yx-weyTwx0NbzkdCdPP&fccid=61a3c30968b3442a&vjs=3,I
Siemens Teamcenter Manager,Deloitte,183600.0,"Boston, MA 02116 (Back Bay area)",https://www.indeed.com/rc/clk?jk=28404431640c12bf&bb=6nLDZPfzgn6Hg6aS0TKVt3z0qqkbxiwIiGn5Rzr8L8DRSE4eIDkdgOH8Wp3k0Xl-3KXMxK7r2NO0cuNSfiBUx05fRoRxTviKvOEfYNGofjnfd4ilhIQnxA%3D%3D&xkcb=SoAK67M34Yx9BuWTSR0JbzkdCdPP&fccid=9e215d88a6b33622&vjs=3,I
Software Engineering Manager,Oneiro,183500.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineering-manager-oneiro-JV_IC1154532_KO0,28_KE29,35.htm?jl=1007158863585",G
.Principal Backend Engineer - EdgeShare,Context Labs,183500.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/principal-backend-engineer-edgeshare-context-labs-JV_IC1154545_KO0,36_KE37,49.htm?jl=1009300545953",G
Senior Software Engineer - Front End - Sponsored Ads,Chewy,183000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-front-end-sponsored-ads-chewy-JV_IC1154532_KO0,48_KE49,54.htm?jl=1009557119992",G
Software Engineer - Mission Autonomy,Anduril Industries,183000.0,"Boston, MA","https://www.glassdoor.com/job-listing/software-engineer-mission-autonomy-anduril-industries-JV_IC1154532_KO0,34_KE35,53.htm?jl=1009551656925",G
Sr Software Engineer - DCT Team,SimpliSafe,182500.0,"Boston, MA","https://www.glassdoor.com/job-listing/sr-software-engineer-dct-team-simplisafe-JV_IC1154532_KO0,29_KE30,40.htm?jl=1009497048362",G
Software Engineer - Tax Calculation Engine - US Tax - Manager,PRICE WATERHOUSE COOPERS,182150.0,"Remote in Boston, MA",https://www.indeed.com/rc/clk?jk=d0abde4b67cde8ac&bb=UTP7ri7BR8xVHsscoNCslIFkm-6GkM8AR0klSuuwCk8U7y5GKS1JOH8w-auboKRJ1918JylGOU-yI01MF6iSQU2KPj1MhWYNPKpYMWhALReVGzPSyjFuFk3DeqKLW0C5&xkcb=SoDL67M34Yxi9zQpbh0IbzkdCdPP&fccid=5e964c4afc56b180&vjs=3,I
Principal Software Engineer,Grand Circle LLC,182000.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-software-engineer-grand-circle-llc-JV_IC1154532_KO0,27_KE28,44.htm?jl=1009543400051",G
"Senior Software Engineer, GT Regression",Motional,181000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-gt-regression-motional-JV_IC1154532_KO0,38_KE39,47.htm?jl=1009478680496",G
Senior Software Engineer II (Droplet Team),DigitalOcean,180000.0,"Remote in Boston, MA",https://www.indeed.com/rc/clk?jk=b2a9ba5446d08601&bb=sKyYXr9FtovrtM80mjdUxeh0wu0B1B-jVKXtGtSDfUb55pAOZZrJKIU_r2boB8nn3_nwwPbX8g0Z4LlEjiFLJQLjUA0pkBPZI5iPoRfvsCqVIoecOsJCVCpD3pH4iTGM&xkcb=SoDn67M34Yxrrc20Dp0AbzkdCdPP&fccid=61a3c30968b3442a&vjs=3,I
