title,company,salary,location,link,platform
"Staff Software Engineer, Frontend",Suno,205000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=1b3f2f6870bd0285&bb=ZhQzrWy1p3vU0b3WX5wTBhTH23Ok3QnrNT8Q_6e5zmYo8fWWSqBHK3xFd-zfSKsluAyUMA4sfi0usud52_3kH20wkkMnIUCiZADsjUSQ3WTf86QT8xkMKpmRW5i6TEJ2&xkcb=SoBr67M34ZLDv1wHyB0GbzkdCdPP&fccid=a166cd977763c895&vjs=3,I
"Mobile Architect, iOS and Android",DraftKings,202500.0,"Boston, MA","https://www.glassdoor.com/job-listing/mobile-architect-ios-and-android-draftkings-JV_IC1154532_KO0,32_KE33,43.htm?jl=1009569468942",G
"AIML - Machine Learning Engineer, Siri and Information Intelligence",Apple,201500.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/aiml-machine-learning-engineer-siri-and-information-intelligence-apple-JV_IC1154545_KO0,64_KE65,70.htm?jl=1009561717596",G
"Senior Manager, Software Engineering",SimpliSafe,199000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-manager-software-engineering-simplisafe-JV_IC1154532_KO0,35_KE36,46.htm?jl=1009540442917",G
Principal Backend Node Engineer,Motion Recruitment,197500.0,"Boston, MA","https://www.glassdoor.com/job-listing/principal-backend-node-engineer-motion-recruitment-JV_IC1154532_KO0,31_KE32,50.htm?jl=1009532314096",G
"Associate Director, Software Engineering",Chewy,196500.0,"Boston, MA","https://www.glassdoor.com/job-listing/associate-director-software-engineering-chewy-JV_IC1154532_KO0,39_KE40,45.htm?jl=1009568601957",G
Principal Backend Engineer - Immutably,Context Labs,196000.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/principal-backend-engineer-immutably-context-labs-JV_IC1154545_KO0,36_KE37,49.htm?jl=1009570174545",G
Senior Software Engineer - Tracking & Estimation,Anduril Industries,195000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-tracking-estimation-anduril-industries-JV_IC1154532_KO0,44_KE45,63.htm?jl=1009551656891",G
.Principal Backend Engineer - Distributed Systems,Context Labs,194500.0,"Cambridge, MA","https://www.glassdoor.com/job-listing/principal-backend-engineer-distributed-systems-context-labs-JV_IC1154545_KO0,46_KE47,59.htm?jl=1009530268841",G
"Solutions Engineer, Software (Investments Technology)",Liberty Mutual,194050.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=fa3a8bef4fde303a&bb=ELZjlxasvHw62Uaet8iFSykngg5yCIovuLGXT5JljUFm_y7RNHDq9G7PGRDNZOwfg62FKpmB9Xwx8uyv9wmVn17NfRgzsqJm_xRUcfIcQlX15Chb8Kbi3_rJqL8YKGoB&xkcb=SoDR67M34ZLFflQHyB0IbzkdCdPP&fccid=f33a9750898d12d4&vjs=3,I
"Solutions Engineer, Software (Investments Technology)",Liberty Mutual,194000.0,"Boston, MA","https://www.glassdoor.com/job-listing/solutions-engineer-software-investments-technology-liberty-mutual-JV_IC1154532_KO0,50_KE51,65.htm?jl=1009534978504",G
"Director, Software Engineering",Fidelity Investments,192000.0,"Boston, MA","https://www.glassdoor.com/job-listing/director-software-engineering-fidelity-investments-JV_IC1154532_KO0,29_KE30,50.htm?jl=1009549585457",G
Sr. Software Engineer - Release Engineering,HashiCorp,191500.0,"Boston, MA","https://www.glassdoor.com/job-listing/sr-software-engineer-release-engineering-hashicorp-JV_IC1154532_KO0,40_KE41,50.htm?jl=1009570842779",G
"Distinguished Software Engineer, Detection & Response",Rapid7,190500.0,"Boston, MA","https://www.glassdoor.com/job-listing/distinguished-software-engineer-detection-response-rapid7-JV_IC1154532_KO0,50_KE51,57.htm?jl=1009524714803",G
Cloud Solutions Engineer,Liberty Mutual,190050.0,"Hybrid work in Boston, MA",https://www.indeed.com/rc/clk?jk=d884a5592316afca&bb=8xFx-w0A3_or-KHWfjp9LfZSrkJCOndzLFnUnfg6yqIIF5R7H7aTPwAsPng4OknXaXrY-eXkqHvJdmnaI_GjTARXnYHDGJ6quQ4bEq1JvF0_wubF0Yzi_y8R-VS-T5-e&xkcb=SoCr67M34ZLAXeQpcZ0LbzkdCdPP&fccid=f33a9750898d12d4&vjs=3,I
Senior Software Engineer - Java,Veeva Systems,190000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=06e7db72ed9b4eb8&bb=frZde3qliVxFBJMRz4t5O0t2HNgMIKn8C5S4wJwkcQOi15EECicdanVlLWXT6T9yt41Hq_-ssU8eb3NTb5Nps4DhPJcXUcQg2EshtYZOG_Avh543IWKdPzPWF1PDyptw&xkcb=SoBc67M34ZLB63QHyB0FbzkdCdPP&fccid=353eb997fc901045&vjs=3,I
Senior Software Engineer - Full Stack,Veeva Systems,190000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-full-stack-veeva-systems-JV_IC1154532_KO0,35_KE36,49.htm?jl=1009567963764",G
"Engineering Manager, Android Engineering",Axon,190000.0,"Boston, MA","https://www.glassdoor.com/job-listing/engineering-manager-android-engineering-axon-JV_IC1154532_KO0,39_KE40,44.htm?jl=1009542132977",G
Senior Software Engineer - Java,Veeva Systems,190000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-java-veeva-systems-JV_IC1154532_KO0,29_KE30,43.htm?jl=1009567964040",G
"Senior Software Engineer, Product Security",Klaviyo,190000.0,"Boston, MA","https://www.glassdoor.com/job-listing/senior-software-engineer-product-security-klaviyo-JV_IC1154532_KO0,41_KE42,49.htm?jl=1009367934151",G
"Engineering Manager, Android Engineering",Axon,190000.0,"Boston, MA",https://www.indeed.com/rc/clk?jk=cb5349814857c7d5&bb=Q9WXnNQJa5OEqUHuaEhyhSi71eCrpBpbyDSPSMPwmOkGgfOuRd7Nwb0n0AQigFfoKsDfYmjpogyJ9POOjVE4JZ9kcL4sPPCK8x0wyUv1PM9E6wh05ZkQRhaOloG0Nkl-&xkcb=SoD667M34ZLcL7y4SZ0DbzkdCdPP&fccid=72b6c36250909407&vjs=3,I
